Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0603_1608Metric",93.980000,-95.250000,180.000000,top
"C2","100nF","C_0603_1608Metric",93.980000,-92.710000,180.000000,top
"D1","LED_pwr","LED_0603_1608Metric",88.900000,-99.060000,0.000000,top
"D2","LED_usb","LED_0603_1608Metric",88.900000,-95.250000,0.000000,top
"D3","LED_wait","LED_0603_1608Metric",88.900000,-91.440000,0.000000,top
"D4","LED_smpl","LED_0603_1608Metric",88.900000,-87.630000,0.000000,top
"D5","LED_cmd","LED_0603_1608Metric",88.900000,-83.820000,0.000000,top
"D6","LED_lock","LED_0603_1608Metric",88.900000,-80.010000,0.000000,top
"D7","LED_err","LED_0603_1608Metric",88.900000,-76.200000,0.000000,top
"RN1","180R","R_Array_Concave_4x0402",83.820000,-93.980000,180.000000,top
"RN2","180R","R_Array_Concave_4x0402",83.820000,-80.010000,180.000000,top
"U1","74LVTH541","TSSOP-20_4.4x6.5mm_P0.65mm",96.520000,-87.630000,180.000000,top
